# ========
# captured on    : Sat Sep 12 09:32:09 2026
# header version : 1
# data offset    : 256
# data size      : 118438368
# feat offset    : 118438624
# hostname : ubuntu
# os release : 5.15.0-1106-kvm
# perf version : 5.15.209
# arch : x86_64
# nrcpus online : 1
# nrcpus avail : 1
# cpudesc : Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz
# cpuid : GenuineIntel,6,63,2
# total memory : 4034188 kB
# cmdline : /usr/lib/linux-kvm-tools-5.15.0-1106/perf record -F 199 --no-bpf-event -e cpu-clock --call-graph dwarf,4096 --output /root/0460882-Project-HwiSwiCoDesign/results/raytrace/original/perf.data -- /root/0460882-Project-HwiSwiCoDesign/.venv-dbg/bin/python /root/0460882-Project-HwiSwiCoDesign/suites/original/bm_raytrace/run_benchmark.py --debug-single-value --width 800 --height 800 
# event : name = cpu-clock, , id = { 361 }, type = 1, size = 128, { sample_period, sample_freq } = 199, sample_type = IP|TID|TIME|ADDR|CALLCHAIN|PERIOD|REGS_USER|STACK_USER|DATA_SRC, read_format = ID, disabled = 1, inherit = 1, mmap = 1, comm = 1, freq = 1, enable_on_exec = 1, task = 1, mmap_data = 1, sample_id_all = 1, exclude_guest = 1, exclude_callchain_user = 1, mmap2 = 1, comm_exec = 1, ksymbol = 1, sample_regs_user = 0xff0fff, sample_stack_user = 4096
# CPU_TOPOLOGY info available, use -I to display
# NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: software = 1, power = 7, uprobe = 6, cpu = 4, breakpoint = 5, tracepoint = 2, msr = 8
# CACHE info available, use -I to display
# time of first sample : 479.488404
# time of last sample : 617.592046
# sample duration : 138103.641 ms
# MEM_TOPOLOGY info available, use -I to display
# cpu pmu capabilities: max_precise=0, pmu_name=haswell
# missing features: TRACING_DATA BRANCH_STACK GROUP_DESC AUXTRACE STAT CLOCKID DIR_FORMAT COMPRESSED CLOCK_DATA HYBRID_TOPOLOGY HYBRID_CPU_PMU_CAPS 
# ========
#
#
# Total Lost Samples: 0
#
# Samples: 27K of event 'cpu-clock'
# Event count (approx.): 136944706500
#
# Overhead       Samples        Period  Command  Shared Object         Symbol                                      IPC   [IPC Coverage]
# ........  ............  ............  .......  ....................  ..........................................  ....................
#
     0.21%            57     286432125  python   python3.10d           [.] PyThreadState_Get                       -      -            
     0.21%            57     286432125  python   python3.10d           [.] _PyUnicode_CheckConsistency             -      -            
     0.21%            56     281407000  python   python3.10d           [.] _PyTrash_end                            -      -            
     0.20%            55     276381875  python   python3.10d           [.] _PyMem_DebugFree                        -      -            
     0.20%            55     276381875  python   python3.10d           [.] _PyMem_DebugMalloc                      -      -            
     0.20%            55     276381875  python   python3.10d           [.] convert_to_double                       -      -            
     0.20%            54     271356750  python   python3.10d           [.] PyObject_IS_GC                          -      -            
     0.19%            51     256281375  python   python3.10d           [.] float_richcompare.lto_priv.0            -      -            
     0.17%            46     231155750  python   python3.10d           [.] _PyDict_ContainsId                      -      -            
     0.17%            46     231155750  python   python3.10d           [.] _PyObject_GetDictPtr                    -      -            
     0.17%            46     231155750  python   python3.10d           [.] new_dict_with_shared_keys.lto_priv.0    -      -            
     0.17%            45     226130625  python   python3.10d           [.] _PyObject_Call_Prepend                  -      -            
     0.16%            44     221105500  python   python3.10d           [.] PyNumber_Add                            -      -            
     0.16%            44     221105500  python   python3.10d           [.] min_max                                 -      -            
     0.15%            42     211055250  python   python3.10d           [.] PyThread_tss_is_created                 -      -            
     0.15%            42     211055250  python   python3.10d           [.] _PyObject_GC_Alloc                      -      -            
     0.13%            36     180904500  python   python3.10d           [.] PyObject_ClearWeakRefs                  -      -            
     0.13%            36     180904500  python   python3.10d           [.] long_sub.lto_priv.0                     -      -            
     0.12%            33     165829125  python   python3.10d           [.] math_1_to_whatever                      -      -            
     0.12%            32     160804000  python   python3.10d           [.] PyLong_AsDouble                         -      -            
     0.12%            32     160804000  python   python3.10d           [.] _PyLong_Sign                            -      -            
     0.12%            32     160804000  python   python3.10d           [.] cfunction_vectorcall_O.lto_priv.0       -      -            
     0.11%            31     155778875  python   python3.10d           [.] PyErr_Occurred                          -      -            
     0.11%            31     155778875  python   python3.10d           [.] get_small_int.lto_priv.0                -      -            
     0.11%            30     150753750  python   python3.10d           [.] PyObject_RichCompare                    -      -            
     0.11%            30     150753750  python   python3.10d           [.] object_new.lto_priv.0                   -      -            
     0.11%            29     145728625  python   python3.10d           [.] get_tuple_state                         -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
