# ========
# captured on    : Sat Sep 12 09:46:13 2026
# header version : 1
# data offset    : 256
# data size      : 7749288
# feat offset    : 7749544
# hostname : ubuntu
# os release : 5.15.0-1106-kvm
# perf version : 5.15.209
# arch : x86_64
# nrcpus online : 1
# nrcpus avail : 1
# cpudesc : Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz
# cpuid : GenuineIntel,6,63,2
# total memory : 4034188 kB
# cmdline : /usr/lib/linux-kvm-tools-5.15.0-1106/perf record -F 199 --no-bpf-event -e cpu-clock --call-graph dwarf,4096 --output /root/0460882-Project-HwiSwiCoDesign/results/raytrace/optimized/2026-09-12-09-45/perf.data -- /root/0460882-Project-HwiSwiCoDesign/.venv-dbg/bin/python /root/0460882-Project-HwiSwiCoDesign/suites/optimized/bm_raytrace/run_benchmark.py --debug-single-value --width 800 --height 800 --batch-size 1024 
# event : name = cpu-clock, , id = { 725 }, type = 1, size = 128, { sample_period, sample_freq } = 199, sample_type = IP|TID|TIME|ADDR|CALLCHAIN|PERIOD|REGS_USER|STACK_USER|DATA_SRC, read_format = ID, disabled = 1, inherit = 1, mmap = 1, comm = 1, freq = 1, enable_on_exec = 1, task = 1, mmap_data = 1, sample_id_all = 1, exclude_guest = 1, exclude_callchain_user = 1, mmap2 = 1, comm_exec = 1, ksymbol = 1, sample_regs_user = 0xff0fff, sample_stack_user = 4096
# CPU_TOPOLOGY info available, use -I to display
# NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: software = 1, power = 7, uprobe = 6, cpu = 4, breakpoint = 5, tracepoint = 2, msr = 8
# CACHE info available, use -I to display
# time of first sample : 1450.743646
# time of last sample : 1461.439241
# sample duration :  10695.595 ms
# MEM_TOPOLOGY info available, use -I to display
# cpu pmu capabilities: max_precise=0, pmu_name=haswell
# missing features: TRACING_DATA BRANCH_STACK GROUP_DESC AUXTRACE STAT CLOCKID DIR_FORMAT COMPRESSED CLOCK_DATA HYBRID_TOPOLOGY HYBRID_CPU_PMU_CAPS 
# ========
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu-clock'
# Event count (approx.): 8864320500
#
# Overhead       Samples        Period  Command  Shared Object                                      Symbol                                           IPC   [IPC Coverage]
# ........  ............  ............  .......  .................................................  ...............................................  ....................
#
     0.34%             6      30150750  python   python3.10d                                        [.] tupleiter_dealloc.lto_priv.0                 -      -            
     0.34%             6      30150750  python   python3.10d                                        [.] visit_decref                                 -      -            
     0.28%             5      25125625  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_TransferNDimToStrided                -      -            
     0.28%             5      25125625  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] recursive_tolist                             -      -            
     0.28%             5      25125625  python   libc.so.6                                          [.] _int_free                                    -      -            
     0.28%             5      25125625  python   libc.so.6                                          [.] pthread_mutex_lock@@GLIBC_2.2.5              -      -            
     0.28%             5      25125625  python   libm.so.6                                          [.] fetestexcept                                 -      -            
     0.28%             5      25125625  python   python3.10d                                        [.] PyLong_FromLong                              -      -            
     0.28%             5      25125625  python   python3.10d                                        [.] PySequence_GetItem                           -      -            
     0.28%             5      25125625  python   python3.10d                                        [.] _PyEval_Vector                               -      -            
     0.28%             5      25125625  python   python3.10d                                        [.] _PyFunction_Vectorcall                       -      -            
     0.28%             5      25125625  python   python3.10d                                        [.] _PyObject_GenericGetAttrWithDict             -      -            
     0.28%             5      25125625  python   python3.10d                                        [.] _PyObject_GetMethod                          -      -            
     0.28%             5      25125625  python   python3.10d                                        [.] _PyType_Lookup                               -      -            
     0.28%             5      25125625  python   python3.10d                                        [.] _PyUnicode_CheckConsistency                  -      -            
     0.28%             5      25125625  python   python3.10d                                        [.] _Py_Dealloc                                  -      -            
     0.28%             5      25125625  python   python3.10d                                        [.] float_dealloc.lto_priv.0                     -      -            
     0.28%             5      25125625  python   python3.10d                                        [.] insert_to_usedpool                           -      -            
     0.28%             5      25125625  python   python3.10d                                        [.] long_richcompare.lto_priv.0                  -      -            
     0.28%             5      25125625  python   python3.10d                                        [.] lookdict_split.lto_priv.0                    -      -            
     0.28%             5      25125625  python   python3.10d                                        [.] tuple_get_empty                              -      -            
     0.23%             4      20100500  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_UpdateFlags                          -      -            
     0.23%             4      20100500  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] _aligned_strided_to_contig_size8             -      -            
     0.23%             4      20100500  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] promote_and_get_ufuncimpl                    -      -            
     0.23%             4      20100500  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] try_trivial_single_output_loop               -      -            
     0.23%             4      20100500  python   python3.10d                                        [.] PyArg_ParseTupleAndKeywords                  -      -            
     0.23%             4      20100500  python   python3.10d                                        [.] PyDict_GetItemWithError                      -      -            
     0.23%             4      20100500  python   python3.10d                                        [.] PyNumber_AsSsize_t                           -      -            
     0.23%             4      20100500  python   python3.10d                                        [.] PyObject_Free                                -      -            
     0.23%             4      20100500  python   python3.10d                                        [.] _PyMem_DebugRawMalloc                        -      -            
     0.23%             4      20100500  python   python3.10d                                        [.] _PyObject_Calloc                             -      -            
     0.23%             4      20100500  python   python3.10d                                        [.] _PyObject_Free                               -      -            
     0.23%             4      20100500  python   python3.10d                                        [.] _PyTrash_begin                               -      -            
     0.23%             4      20100500  python   python3.10d                                        [.] _Py_CheckFunctionResult                      -      -            
     0.23%             4      20100500  python   python3.10d                                        [.] array_ass_subscr                             -      -            
     0.23%             4      20100500  python   python3.10d                                        [.] cleanreturn                                  -      -            
     0.23%             4      20100500  python   python3.10d                                        [.] get_small_int.lto_priv.0                     -      -            
     0.23%             4      20100500  python   python3.10d                                        [.] lookdict_unicode                             -      -            
     0.23%             4      20100500  python   python3.10d                                        [.] type_call.lto_priv.0                         -      -            
     0.23%             4      20100500  python   python3.10d                                        [.] 0x0000000000021100                           -      -            
     0.17%             3      15075375  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] LONG_getitem                                 -      -            
     0.17%             3      15075375  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_FromAny_int                          -      -            
     0.17%             3      15075375  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_MapIterNew                           -      -            
     0.17%             3      15075375  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyDataMem_GetHandler                         -      -            
     0.17%             3      15075375  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] array_dealloc                                -      -            
     0.17%             3      15075375  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] get_view_from_index                          -      -            
     0.17%             3      15075375  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] memmove@plt                                  -      -            
     0.17%             3      15075375  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] npy_alloc_cache_dim                          -      -            
     0.17%             3      15075375  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] npy_free_cache_dim                           -      -            
     0.17%             3      15075375  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] npyiter_iternext_itflags0_dims1_iters1       -      -            
     0.17%             3      15075375  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] promote_and_get_info_and_ufuncimpl           -      -            
     0.17%             3      15075375  python   _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] simd_binary_scalar2_less_s64                 -      -            
     0.17%             3      15075375  python   ld-linux-x86-64.so.2                               [.] _dl_lookup_symbol_x                          -      -            
